Energy fluotot bragg Monitor highharm
2.437400000000000000e+04 5.485984482820282192e-03 1.782075985579058397e+01 8.950080000000000000e+05 5.486101265950055206e-01
2.437500000000000000e+04 5.515369496329764615e-03 1.767351821986617821e+01 8.974920000000000000e+05 5.446709417555010146e-01
2.437500000000000000e+04 5.603941203891587945e-03 1.751014994582001094e+01 8.945490000000000000e+05 5.369373040373640604e-01
2.437600000000000000e+04 5.484442263811071909e-03 1.751375636754702825e+01 8.927070000000000000e+05 5.266104826049099463e-01
2.437600000000000000e+04 5.650951777573871154e-03 1.743119867368707432e+01 8.925930000000000000e+05 5.556006775675249587e-01
2.437700000000000000e+04 5.596217082307470420e-03 1.706429501520845449e+01 8.956050000000000000e+05 5.463840434304152449e-01
2.437700000000000000e+04 5.688026904277974222e-03 1.719659672231088265e+01 8.959170000000000000e+05 5.501320693657022476e-01
2.437800000000000000e+04 5.727849734248420012e-03 1.753941580149477275e+01 8.914340000000000000e+05 5.456056120592029934e-01
2.437800000000000000e+04 5.566994415130427018e-03 1.727372917183725320e+01 8.950970000000000000e+05 5.525725838009414304e-01
2.437900000000000000e+04 5.653599945204427352e-03 1.747657228860504119e+01 8.905830000000000000e+05 5.486655762883438925e-01
2.437900000000000000e+04 5.612338221450923273e-03 1.757217343615225147e+01 8.965960000000000000e+05 5.565853239470608393e-01
2.438000000000000000e+04 5.578247641851105838e-03 1.747149690860518589e+01 8.904230000000000000e+05 5.455876783696738119e-01
2.438000000000000000e+04 5.645748718515376449e-03 1.738596488640614979e+01 8.868620000000000000e+05 5.170429716322891833e-01
2.438100000000000000e+04 5.821505947597481641e-03 1.719007237423322465e+01 8.922090000000000000e+05 5.551816959193143219e-01
2.438100000000000000e+04 5.711644602782622523e-03 1.728991149069143773e+01 8.892360000000000000e+05 5.504479564089793664e-01
2.438200000000000000e+04 5.811484260987035376e-03 1.720456191301196114e+01 8.853160000000000000e+05 5.512839847287465123e-01
2.438200000000000000e+04 5.676574788085029730e-03 1.706245409294345450e+01 8.885640000000000000e+05 5.387694642541229761e-01
2.438300000000000000e+04 5.682169036950360241e-03 1.692428647587129120e+01 8.906810000000000000e+05 5.667957256260722776e-01
2.438300000000000000e+04 5.719269069300519232e-03 1.691767988225506159e+01 8.875260000000000000e+05 5.314734550533967150e-01
2.438400000000000000e+04 5.865720876013786299e-03 1.685535760690311591e+01 8.870180000000000000e+05 5.396514828374093797e-01
2.438400000000000000e+04 5.975936115337039667e-03 1.688176415253859020e+01 8.867230000000000000e+05 5.400182201220532496e-01
