Energy fluotot Monitor
2.454200000000000000e+04 5.813945183210699266e-03 1.400082000000000000e+06
2.454400000000000000e+04 5.736548868194416700e-03 1.399622000000000000e+06
2.454600000000000000e+04 5.734329418711122880e-03 1.398943000000000000e+06
2.454800000000000000e+04 5.578116159011348510e-03 1.397963000000000000e+06
2.455000000000000000e+04 5.725022879340906264e-03 1.397549000000000000e+06
2.455200000000000000e+04 5.804062915669544118e-03 1.396091000000000000e+06
2.455400000000000000e+04 5.709782708457611204e-03 1.394624000000000000e+06
2.455600000000000000e+04 5.704701356875258901e-03 1.393938000000000000e+06
2.455800000000000000e+04 5.791892355491573552e-03 1.393327000000000000e+06
2.456000000000000000e+04 5.578951829374728145e-03 1.392197000000000000e+06
2.456200000000000000e+04 5.647451819143571930e-03 1.391424000000000000e+06
2.456400000000000000e+04 5.738260801400355167e-03 1.390491000000000000e+06
2.456600000000000000e+04 5.549738370504194405e-03 1.390516000000000000e+06
2.456800000000000000e+04 5.656982894481171059e-03 1.389610000000000000e+06
2.457000000000000000e+04 5.626291906701400003e-03 1.389903000000000000e+06
2.457200000000000000e+04 5.686427945636625403e-03 1.389097000000000000e+06
2.457400000000000000e+04 5.603069914877411260e-03 1.388703000000000000e+06
2.457600000000000000e+04 5.743630839478129808e-03 1.387624000000000000e+06
2.457800000000000000e+04 5.635825775843516725e-03 1.389681000000000000e+06
2.458000000000000000e+04 5.790682521230694144e-03 1.385847000000000000e+06
2.458200000000000000e+04 5.736811326339799448e-03 1.385090000000000000e+06
2.458400000000000000e+04 5.663415807714081152e-03 1.384147000000000000e+06
2.458600000000000000e+04 5.560945835840538573e-03 1.389332000000000000e+06
2.458800000000000000e+04 5.729892175880202214e-03 1.386239000000000000e+06
2.459000000000000000e+04 5.662580813261166267e-03 1.393181000000000000e+06
2.459200000000000000e+04 5.676787403805770051e-03 1.383529000000000000e+06
2.459400000000000000e+04 5.742587694475578125e-03 1.385264000000000000e+06
2.459600000000000000e+04 5.736753108881399374e-03 1.385627000000000000e+06
2.459800000000000000e+04 5.696207547727158774e-03 1.387941000000000000e+06
2.460000000000000000e+04 5.794115335841696322e-03 1.387097000000000000e+06
2.460200000000000000e+04 5.706630188962988348e-03 1.383128000000000000e+06
2.460400000000000000e+04 5.935046343826380806e-03 1.383140000000000000e+06
2.460600000000000000e+04 5.871068157961417504e-03 1.381350000000000000e+06
2.460800000000000000e+04 5.777590352875780662e-03 1.377737000000000000e+06
2.461000000000000000e+04 5.611117049027853493e-03 1.471702000000000000e+06
2.461200000000000000e+04 5.732691511067723560e-03 1.461335000000000000e+06
2.461400000000000000e+04 5.783122221797909815e-03 1.466933000000000000e+06
2.461600000000000000e+04 5.803965742419001615e-03 1.460280000000000000e+06
2.461800000000000000e+04 5.783333466303689982e-03 1.463891000000000000e+06
2.462000000000000000e+04 5.735360039121397205e-03 1.458450000000000000e+06
2.462200000000000000e+04 5.684440441148824741e-03 1.458834000000000000e+06
2.462400000000000000e+04 5.825404687954982216e-03 1.454953000000000000e+06
2.462600000000000000e+04 5.825006378276642409e-03 1.463272000000000000e+06
