Energy Monitor Ho_a Ho_g1 Ho_b1 bragg Ho_b2 fluotot
8.136000000000000000e+03 1.365160000000000000e+05 1.415009438977325468e-03 -6.742296272263661716e-17 3.725361339120898441e-05 2.055866724074134595e+02 2.295534302805969759e-04 2.274165665562965788e-01
8.137000000000000000e+03 1.353620000000000000e+05 1.405332156946347000e-03 2.110742199549834599e-07 3.968195336526182535e-05 2.034345118505856647e+02 2.558127647568149594e-04 2.249006368109183474e-01
8.138000000000000000e+03 1.342510000000000000e+05 1.424623599504978508e-03 -7.903864999250205703e-17 4.086162699506361642e-05 2.048019605710578048e+02 2.543830844821898599e-04 2.256668479191920595e-01
8.139000000000000000e+03 1.358330000000000000e+05 1.399828150323243533e-03 -8.556338054409167606e-17 3.239271752814117577e-05 2.030362839425565653e+02 2.465800413626292919e-04 2.248201836078156102e-01
8.140000000000000000e+03 1.347790000000000000e+05 1.416074780619702364e-03 4.239744851228624675e-07 4.472930819023311101e-05 2.036240722893042800e+02 2.568757421529993708e-04 2.278248095029680731e-01
8.141000000000000000e+03 1.357650000000000000e+05 1.439462095743169546e-03 2.104476747160106499e-07 3.788058146692552220e-05 2.014894306543542939e+02 2.576659109365918039e-04 2.266858174050724317e-01
8.142000000000000000e+03 1.351680000000000000e+05 1.440958130411255358e-03 2.113771643936811808e-07 3.635687229437229519e-05 2.029724568289904880e+02 2.706788139997460250e-04 2.272875236742406824e-01
8.143000000000000000e+03 1.347870000000000000e+05 1.415566783146742814e-03 2.119746604316887548e-07 3.751951491718679479e-05 2.012899286729023913e+02 2.634327730091310109e-04 2.263793986066886532e-01
8.144000000000000000e+03 1.338880000000000000e+05 1.442570335973777668e-03 -1.270131200679937184e-16 3.734464627151051660e-05 2.025053650251869044e+02 2.790718267797677888e-04 2.288778680688393352e-01
8.145000000000000000e+03 1.356740000000000000e+05 1.456011152784300296e-03 2.105888272829376596e-07 3.790598893566301197e-05 2.032854040075925752e+02 2.736508578805801157e-04 2.289163730707471089e-01
8.146000000000000000e+03 1.344420000000000000e+05 1.413461354551192629e-03 2.125186217956009747e-07 3.527809124274514720e-05 2.041599281678348632e+02 2.668670704414977460e-04 2.246470596986098744e-01
8.147000000000000000e+03 1.338820000000000000e+05 1.403154590289530136e-03 -1.607828536075253361e-16 3.948039531613126488e-05 2.032061286918615508e+02 2.693464562718759191e-04 2.262888214995287250e-01
8.148000000000000000e+03 1.343330000000000000e+05 1.380364999133283730e-03 6.380731889478111464e-07 3.637017177993706889e-05 2.049400680129562886e+02 2.691702340653870807e-04 2.239137069819021053e-01
8.149000000000000000e+03 1.346300000000000000e+05 1.400239810698103654e-03 -1.880491809564337892e-16 3.183327850935367996e-05 2.061201974477565386e+02 2.434275224770415021e-04 2.242665082076783500e-01
8.150000000000000000e+03 1.337990000000000000e+05 1.372207565078961775e-03 4.270798519843241490e-07 3.352576839673155972e-05 2.062186814215414756e+02 2.610965810844316525e-04 2.243215569623101813e-01
8.151000000000000000e+03 1.345110000000000000e+05 1.426967736042830323e-03 8.496384255275943045e-07 3.929577719081923118e-05 2.074181706752673620e+02 2.598029545269655021e-04 2.230969957847282470e-01
8.152000000000000000e+03 1.334750000000000000e+05 1.381960238674979306e-03 2.140582771283395162e-07 3.531961576539213146e-05 2.078985516243635345e+02 2.686667047450588927e-04 2.226109758381669135e-01
8.153000000000000000e+03 1.331780000000000000e+05 1.366806615421251644e-03 -2.569171699261272768e-16 3.325302548898038057e-05 2.099625405749766571e+02 2.709383656187288963e-04 2.217258105693197812e-01
8.154000000000000000e+03 1.338500000000000000e+05 1.356102246651368689e-03 2.134585620788924950e-07 3.607449703826244342e-05 2.099984735189414948e+02 2.668270132255913833e-04 2.194023160253984472e-01
8.155000000000000000e+03 1.340420000000000000e+05 1.365243729577296722e-03 4.263056139316772987e-07 3.261237948873167025e-05 2.111890022136357175e+02 2.800814949433262364e-04 2.214455170767392622e-01
8.156000000000000000e+03 1.326950000000000000e+05 1.365537510833113441e-03 2.153165419073416378e-07 3.983356031285493419e-05 2.128528919918265672e+02 2.810090035886588628e-04 2.237763291759319595e-01
8.157000000000000000e+03 1.335710000000000000e+05 1.358507032642885474e-03 4.278088589293456542e-07 3.529423089058039546e-05 2.140500508877296966e+02 2.812895062873176219e-04 2.237611457576885454e-01
8.158000000000000000e+03 1.329460000000000000e+05 1.402287932157202230e-03 4.298200554550360596e-07 2.879794374085289344e-05 2.133301347488970521e+02 2.839878891364674995e-04 2.220676063965786040e-01
8.159000000000000000e+03 1.317800000000000000e+05 1.412960995598724987e-03 -4.089846992435520418e-16 3.707477831017063713e-05 2.149087303911313711e+02 2.753131561692640015e-04 2.231446349977201649e-01
8.160000000000000000e+03 1.337180000000000000e+05 1.360218626405676739e-03 -4.417743795271588719e-16 3.482809238204922109e-05 2.138549474233193735e+02 2.903705146019243595e-04 2.228047084162184110e-01
8.161000000000000000e+03 1.334490000000000000e+05 1.422908484032958535e-03 -4.771424644989007112e-16 3.639699703364474747e-05 2.167351780657483573e+02 2.768654244875501445e-04 2.259739675831198280e-01
8.162000000000000000e+03 1.325660000000000000e+05 1.415144154609779313e-03 2.155260662848602721e-07 3.513074888842431361e-05 2.139591288340775179e+02 2.913975746670740066e-04 2.246201891887806001e-01
8.163000000000000000e+03 1.331260000000000000e+05 1.394597170027964822e-03 2.146194469701917239e-07 3.820226165973803005e-05 2.164894022094230763e+02 2.811374782570599199e-04 2.256508871294865826e-01
8.164000000000000000e+03 1.332840000000000000e+05 1.398517451457039233e-03 -6.007844422960757691e-16 3.429840469545159806e-05 2.142691959421268280e+02 2.879528925096632992e-04 2.257885417604504064e-01
